member_id,age,country,job_title,days_since_signup,login_frequency_30d,resources_downloaded,webinars_attended,forum_posts,profile_completion_pct,events_registered,events_attended,newsletter_opens,avg_session_duration_min,support_tickets_raised,emails_to_support,referral_count,converted
IAASSE_00079,57,USA,Data Analyst,261,10,5,0,5,59.31685616193224,6,3,7,29.78541299914253,1,1,0,0
IAASSE_00081,33,USA,Researcher,409,11,5,1,3,76.13621693817724,2,2,6,22.254634262015486,0,0,0,0
IAASSE_00082,62,Brazil,Researcher,198,7,5,1,5,98.27888192459304,6,4,7,44.679428842303835,2,0,0,0
IAASSE_00083,35,India,Researcher,335,5,10,2,5,71.01025517079854,4,2,8,50.429085320469646,3,0,0,1
IAASSE_00086,43,USA,Freelancer,303,4,4,1,0,69.87754529415366,1,0,7,32.27483426859145,0,0,0,0
IAASSE_00087,42,UK,Professor,251,10,5,2,2,55.7360944978599,3,1,5,38.03264622149438,1,0,0,0
IAASSE_00088,62,USA,Software Engineer,525,13,9,3,3,44.465914024364956,1,1,4,13.64382937265557,0,0,0,0
IAASSE_00089,58,USA,Consultant,399,6,4,2,4,64.7733102902216,1,1,10,20.115992912662676,1,0,1,0
IAASSE_00090,46,USA,Software Engineer,607,12,7,1,0,44.790555456061774,2,2,4,1.4930474863201726,2,0,0,0
IAASSE_00091,32,Canada,Software Engineer,183,8,2,1,2,70.5621386902043,2,0,7,19.69926529209135,2,1,0,1
IAASSE_00092,62,UK,Student,210,6,4,1,3,34.821020801167776,2,1,6,3.771616030300878,0,1,1,0
IAASSE_00093,18,USA,Software Engineer,652,8,9,1,7,54.02953841159198,6,3,8,20.5816077678014,0,0,0,1
IAASSE_00094,42,USA,Software Engineer,600,9,2,0,3,53.5850530468699,2,2,9,28.213330930580796,0,0,1,0
IAASSE_00095,24,USA,Student,539,11,5,3,4,21.30336991978638,3,1,7,11.269804770015035,2,1,0,0
IAASSE_00096,26,Brazil,Software Engineer,134,6,7,0,7,8.433965936149706,2,2,7,10.120377617886176,2,2,0,0
IAASSE_00097,41,India,Manager,201,12,4,0,5,63.63102773754632,2,2,5,29.993613132639712,3,0,0,0
IAASSE_00098,18,Brazil,Researcher,200,11,10,3,5,92.62575671575858,5,4,6,6.761139326200504,1,0,0,1
IAASSE_00099,61,Canada,Researcher,190,9,6,1,7,65.90485973749799,4,1,3,5.81396327092542,3,0,0,0
IAASSE_00100,25,UK,Professor,253,7,6,0,2,90.89035549101314,1,0,7,13.858057868106586,3,0,1,0
IAASSE_00101,41,India,Student,330,7,0,5,1,72.65503913905545,1,1,2,2.7919646247618486,2,0,0,0
IAASSE_00102,28,UK,Software Engineer,166,9,6,4,3,33.905104002603004,1,0,6,18.14840110485522,0,0,2,1
IAASSE_00103,34,UK,Manager,712,11,8,3,2,62.476890403574956,4,3,4,25.454674602602175,0,0,0,1
IAASSE_00104,25,USA,Software Engineer,628,5,2,2,3,75.87229061559975,4,2,6,41.09934107514351,0,1,0,0
IAASSE_00106,52,UK,Student,260,9,3,1,1,57.36687109513912,1,0,5,9.496047969122714,0,0,1,1
IAASSE_00107,50,UK,Consultant,289,9,4,2,3,99.91951226744261,3,2,9,8.822823728055617,0,1,0,1
IAASSE_00109,59,USA,Consultant,124,3,4,0,4,21.277651303784737,5,3,4,20.7684256654126,3,1,0,0
IAASSE_00110,56,USA,Software Engineer,429,9,3,0,5,93.94821198564176,1,0,8,5.891112394957756,0,0,0,0
IAASSE_00111,58,India,Researcher,562,9,5,4,1,67.54316764094935,7,4,7,9.559662391952271,1,2,0,1
IAASSE_00112,45,USA,Manager,728,10,9,2,10,79.3414711055361,7,6,7,41.283285615088104,0,0,1,1
IAASSE_00114,26,Nigeria,Software Engineer,537,6,7,0,2,85.81686492538782,4,3,5,17.822781185488722,1,2,0,0
IAASSE_00115,25,USA,Software Engineer,97,8,4,2,6,48.99308652843192,4,3,9,12.129889596972465,0,2,1,0
IAASSE_00116,29,USA,Manager,307,4,3,0,0,91.60683929432206,2,0,4,7.040849119230702,2,0,0,0
IAASSE_00117,51,Canada,Data Analyst,223,8,5,1,6,49.45741502452658,1,0,5,26.267243557828472,1,0,1,0
IAASSE_00118,50,UK,Software Engineer,104,13,3,2,3,51.603226168439754,1,1,8,18.774765384293577,1,1,0,0
IAASSE_00119,40,Australia,Student,462,4,5,1,5,53.75574679099683,4,2,3,44.55739192130288,1,0,1,0
IAASSE_00120,41,India,Professor,537,6,3,2,3,62.27411798850911,1,0,6,19.3002767875975,0,0,0,0
IAASSE_00121,54,USA,Student,544,5,4,2,2,64.19635637915452,4,3,7,19.523313058960373,0,0,1,1
IAASSE_00123,61,Canada,Software Engineer,582,4,3,1,4,80.3599784827691,3,2,12,7.587087335191888,1,0,0,0
IAASSE_00124,57,USA,Software Engineer,330,9,5,3,1,52.17332473270891,5,4,3,4.042221300280313,3,0,1,0
IAASSE_00125,39,Germany,Researcher,229,4,5,0,0,59.31598149195617,0,0,5,62.52701919073819,1,1,0,0
IAASSE_00127,52,Canada,Software Engineer,569,6,3,4,4,53.52574328997712,3,3,4,24.849999903315208,0,1,0,1
IAASSE_00128,18,USA,Manager,464,11,6,3,2,69.60699032970213,2,0,8,4.958610361973418,0,0,0,0
IAASSE_00129,52,Canada,Consultant,620,7,5,0,2,95.63729147264569,5,3,6,5.309759689948636,1,0,0,1
IAASSE_00130,54,UK,Student,182,12,4,1,2,34.92568203415976,3,3,9,10.528300099337471,0,0,1,1
IAASSE_00131,64,India,Consultant,528,7,4,0,4,59.18470083640901,3,1,4,7.6939997010985515,0,1,0,0
IAASSE_00132,31,USA,Researcher,463,13,5,0,4,93.00331919159824,1,1,7,22.94618995829373,0,0,0,0
IAASSE_00133,20,Canada,Consultant,429,10,7,2,1,33.72401294993342,2,1,8,5.395833069464348,2,1,0,0
IAASSE_00134,18,Canada,Software Engineer,106,13,6,3,3,46.95750875109072,3,1,5,5.168927265720059,0,0,1,0
IAASSE_00135,22,India,Software Engineer,409,9,5,0,4,37.896860776956565,3,2,10,14.237017174245468,1,0,1,0
IAASSE_00136,43,Australia,Professor,582,11,7,3,2,67.91228793917765,2,1,7,7.976151412155544,0,0,0,0
IAASSE_00137,31,Germany,Consultant,386,3,9,2,2,63.55336828236645,4,3,7,17.00747477342095,1,1,0,1
IAASSE_00138,56,India,Software Engineer,537,9,3,2,2,73.27985415508248,1,1,6,52.57264751521235,1,0,0,0
IAASSE_00139,44,Nigeria,Data Analyst,338,5,3,2,1,94.01470680473145,2,2,7,11.105789913023367,0,1,0,0
IAASSE_00140,26,UK,Software Engineer,324,7,1,5,8,73.25675199057541,6,5,5,12.10191384396576,1,0,1,0
IAASSE_00141,32,Australia,Software Engineer,659,6,4,4,3,88.1833802920538,5,2,8,5.848939001579394,1,0,0,0
IAASSE_00142,32,India,Data Analyst,543,12,4,2,6,52.28600742527736,4,2,8,43.62309099869596,0,0,0,0
IAASSE_00143,43,Brazil,Data Analyst,95,8,6,3,4,99.53993364179577,2,1,5,28.581780105937966,1,0,0,1
IAASSE_00144,59,Nigeria,Consultant,610,9,4,2,5,70.91747622429298,5,4,3,12.28610848620729,4,1,0,0
IAASSE_00145,30,UK,Student,517,8,8,2,1,77.95138528142861,0,0,7,26.26869579731177,1,0,0,0
IAASSE_00147,56,Canada,Student,395,8,4,2,5,64.85809236563131,2,0,11,3.440700187275283,0,1,0,0
IAASSE_00149,21,Canada,Student,408,6,4,3,3,17.004659727883194,5,2,10,4.075557832972166,1,0,0,0
IAASSE_00150,47,Canada,Data Analyst,113,7,3,1,1,37.67272498887021,2,2,4,13.27765891391574,2,0,0,0
IAASSE_00151,54,India,Manager,117,3,4,5,2,43.9650621927353,1,0,13,13.692658294568465,2,2,1,0
IAASSE_00152,40,UK,Consultant,283,10,5,0,2,54.158477923529766,2,1,5,7.515490108232924,2,0,1,1
IAASSE_00153,56,Nigeria,Data Analyst,220,13,5,0,2,91.67870498560941,4,1,6,23.53797193096048,3,0,0,0
IAASSE_00154,62,Canada,Software Engineer,512,7,5,1,1,74.17782500337702,1,0,3,33.58975288703433,1,1,0,0
IAASSE_00155,32,UK,Software Engineer,127,7,4,0,3,94.89579590454336,1,0,6,32.194810735605344,1,1,1,1
IAASSE_00156,60,Canada,Consultant,140,6,11,3,3,46.52929911515682,2,2,5,11.051206750041363,0,0,0,0
IAASSE_00157,46,India,Manager,726,6,8,5,2,87.23606164639904,2,1,6,23.283902992087285,0,0,0,0
IAASSE_00158,53,USA,Software Engineer,377,5,5,1,5,51.01049559028748,2,2,9,33.21484022777604,0,0,1,0
IAASSE_00159,30,USA,Researcher,263,9,9,1,2,81.40182723824722,4,2,8,25.155407038708923,2,1,0,1
IAASSE_00160,49,Brazil,Consultant,703,8,5,1,1,33.63054603226687,4,1,6,27.431434131758166,1,0,1,0
IAASSE_00161,24,USA,Student,186,9,5,1,3,56.176612496137246,2,1,7,6.281453783056258,0,0,0,0
IAASSE_00163,45,Australia,Professor,605,9,5,3,6,24.140357016631743,2,1,2,13.565045334219484,6,0,0,1
IAASSE_00166,62,USA,Software Engineer,457,5,4,4,4,71.20547121278864,4,1,6,10.039538860003873,0,1,0,0
IAASSE_00168,45,UK,Software Engineer,663,4,4,4,2,73.57666605537068,2,1,6,32.54805551573123,2,1,2,1
IAASSE_00169,45,Germany,Researcher,98,8,10,5,5,96.81847983150544,5,5,9,13.14595265511783,0,1,1,1
IAASSE_00172,37,USA,Consultant,668,6,4,2,4,28.739280457874163,2,2,9,37.15692038798884,1,0,0,0
IAASSE_00173,47,UK,Student,289,6,5,1,4,4.444980495290279,6,4,5,26.754237943818474,4,1,0,0
IAASSE_00174,28,USA,Software Engineer,317,8,5,1,6,48.17745795136054,2,1,4,20.158574717092634,3,1,0,1
IAASSE_00175,45,USA,Software Engineer,166,6,3,3,3,78.26150038209497,5,3,3,14.947180985758235,1,0,0,0
IAASSE_00176,42,India,Researcher,322,10,2,4,0,71.90536009925037,5,3,4,7.409386415232953,2,0,0,1
IAASSE_00177,56,UK,Data Analyst,674,8,1,2,0,99.1471535538299,2,1,9,26.037595249205413,0,0,0,0
IAASSE_00178,50,Nigeria,Researcher,162,12,8,4,2,91.11232982117792,4,3,8,14.037718645492037,1,2,1,1
IAASSE_00179,18,Brazil,Consultant,720,12,1,0,5,60.67002167594537,0,0,8,17.42970511667743,3,1,0,0
IAASSE_00180,44,Australia,Software Engineer,474,8,2,2,6,26.232355133420032,3,3,6,10.489315664323193,0,0,1,1
IAASSE_00181,30,USA,Professor,468,10,3,5,2,79.6318260811883,4,3,5,25.832574795897486,0,1,0,1
IAASSE_00182,58,UK,Freelancer,123,11,10,5,4,43.91894889100236,3,1,6,5.616671176458996,2,0,0,0
IAASSE_00183,20,India,Student,672,11,4,3,3,70.7402511231318,3,2,8,17.230717763342007,2,1,0,0
IAASSE_00184,56,UK,Data Analyst,370,7,7,2,2,83.55262195175477,2,2,5,32.749629036880364,0,0,2,1
IAASSE_00185,23,USA,Freelancer,637,10,2,2,1,36.52495779705403,3,2,5,19.69517399542997,1,0,0,0
IAASSE_00186,25,Australia,Freelancer,717,5,4,1,0,86.61708692813531,1,1,7,18.656320438284585,1,0,0,0
IAASSE_00187,44,India,Student,472,15,6,2,2,82.57402937408051,0,0,4,1.8768483939963996,0,1,0,0
IAASSE_00188,26,India,Student,190,9,1,2,4,35.0850509940509,7,4,8,77.95623624965017,0,1,0,0
IAASSE_00189,54,USA,Student,666,7,9,2,2,86.24504256164602,4,3,6,9.010597722988894,1,1,1,0
IAASSE_00190,50,Germany,Freelancer,172,7,4,4,5,65.94143084957888,3,3,5,18.384175953079072,2,1,0,0
IAASSE_00192,61,USA,Software Engineer,278,6,4,3,2,59.938138046006884,4,3,4,17.7648043838291,2,0,1,0
IAASSE_00193,41,Nigeria,Consultant,697,8,2,2,4,90.87902175238236,4,2,7,12.36044840683597,3,0,0,0
IAASSE_00194,32,USA,Student,509,6,6,4,2,71.73650981693312,3,3,4,11.321059458436626,2,0,1,0
IAASSE_00195,49,UK,Researcher,569,7,3,2,1,44.48026912041744,5,3,7,8.861516673795538,2,0,0,0
IAASSE_00196,49,USA,Data Analyst,593,5,1,4,5,98.24323911437011,5,4,3,12.430116711137018,2,0,0,0
IAASSE_00197,41,Nigeria,Consultant,662,8,6,3,6,40.80529946134778,3,2,9,14.057430516551214,0,2,1,1
IAASSE_00198,58,India,Data Analyst,349,6,3,1,1,96.17043483700395,4,1,6,25.878643575134394,1,1,0,0
IAASSE_00199,29,Germany,Researcher,706,5,3,2,3,57.403026959035905,1,1,5,23.042910039968874,0,1,0,0
IAASSE_00200,56,India,Researcher,641,11,0,0,2,88.3783381995385,5,4,7,28.173203964790346,0,1,1,0
IAASSE_00201,19,USA,Data Analyst,257,11,10,0,4,37.153674919978954,2,1,5,23.900014271016737,0,0,0,0
IAASSE_00202,20,Canada,Student,136,3,3,2,3,83.18713549740974,0,0,7,42.80883388310436,1,0,1,0
IAASSE_00203,54,UK,Software Engineer,364,4,4,1,2,95.28355745307687,4,2,7,23.184383218236867,1,0,0,0
IAASSE_00204,34,USA,Data Analyst,698,11,3,2,4,18.49793874992901,6,5,8,3.923230256103301,0,0,2,0
IAASSE_00205,19,Canada,Manager,414,6,4,2,2,75.55665273209024,3,1,7,9.843341564140504,1,0,1,0
IAASSE_00206,19,Nigeria,Manager,501,9,3,4,3,77.27091714817062,4,3,4,25.44885999652366,1,2,0,0
IAASSE_00207,45,USA,Software Engineer,628,3,6,1,2,48.84710447547053,4,0,6,11.635921913534427,1,1,0,0
IAASSE_00208,40,UK,Researcher,488,13,9,1,2,45.418758445174994,3,2,6,11.540344341721845,1,1,0,1
IAASSE_00210,49,USA,Consultant,520,8,7,2,5,90.53996942772014,3,1,7,5.393675106764349,1,0,0,0
IAASSE_00211,50,Nigeria,Software Engineer,327,6,8,1,5,88.6076985309183,4,3,7,35.327645987523034,0,1,1,0
IAASSE_00212,18,Canada,Data Analyst,296,11,1,2,1,35.034800255205816,5,4,8,8.547635998016055,2,0,0,0
IAASSE_00213,36,Canada,Data Analyst,303,6,6,5,4,34.31672116917658,4,3,3,6.592617051487995,0,0,0,1
IAASSE_00214,19,India,Software Engineer,687,5,6,0,4,63.44433587107109,1,0,8,11.745260669340796,1,0,0,0
IAASSE_00215,61,USA,Software Engineer,481,4,9,1,4,51.74965401327989,6,1,4,40.85282566369702,3,0,1,0
IAASSE_00217,49,Canada,Student,178,8,7,3,3,88.2255352762684,1,1,2,92.40053912382366,2,0,0,0
IAASSE_00218,23,Australia,Researcher,324,9,1,1,1,95.99147366995595,5,2,4,6.711475638227341,1,0,0,0
IAASSE_00219,49,Brazil,Data Analyst,199,6,2,2,1,83.81400463768225,3,1,3,45.39213122681325,1,0,0,0
IAASSE_00220,21,India,Student,687,7,8,2,4,57.93712228700534,2,1,7,4.898837385666776,2,0,0,0
IAASSE_00221,28,UK,Software Engineer,124,5,7,1,6,83.05228752321646,3,0,6,23.69780106649259,0,0,0,0
IAASSE_00223,55,USA,Software Engineer,489,8,5,3,8,87.40128888996763,5,3,4,7.20240299207905,0,0,0,0
IAASSE_00224,41,USA,Data Analyst,138,9,2,4,2,49.98145375935951,0,0,5,6.906026564038255,1,1,0,0
IAASSE_00225,22,USA,Software Engineer,99,7,5,4,2,99.9616096764258,4,2,9,80.52162548535576,1,0,0,0
IAASSE_00226,51,UK,Software Engineer,528,9,8,0,5,20.206360548961,5,3,5,14.925681283890226,2,0,0,0
IAASSE_00227,23,Canada,Data Analyst,569,4,4,6,3,91.56836620948405,3,2,10,2.66405618269004,2,0,0,1
IAASSE_00228,39,Australia,Student,300,12,3,2,3,57.95805296267026,6,4,6,10.12428440636183,1,0,0,0
IAASSE_00229,28,Nigeria,Consultant,647,7,4,1,3,95.18261301844214,1,0,8,34.13251898864962,3,0,1,1
IAASSE_00230,33,Canada,Software Engineer,398,7,5,5,4,60.166685472931036,2,1,8,10.437561416331606,0,1,0,0
IAASSE_00231,50,Canada,Software Engineer,255,10,4,0,4,35.08440623121673,1,1,9,30.812426283086204,2,1,1,0
IAASSE_00232,26,USA,Student,620,11,2,3,0,54.875336696293,1,1,3,22.187728463204934,2,0,1,0
IAASSE_00233,23,USA,Software Engineer,601,8,5,0,2,87.35001632063143,1,0,9,13.47385746717891,5,0,0,0
IAASSE_00234,33,Australia,Software Engineer,709,7,7,2,2,98.25946988371169,3,2,7,23.872502978925677,0,0,0,1
IAASSE_00235,46,Canada,Software Engineer,423,6,6,2,2,58.395252083248884,2,1,8,26.670515770463055,1,1,0,1
IAASSE_00236,20,India,Researcher,149,8,5,2,3,91.52157555282594,3,1,4,34.07221542609937,0,0,0,0
IAASSE_00237,37,USA,Student,243,10,3,2,5,47.41274837586117,2,2,6,7.957458031895749,2,0,1,0
IAASSE_00238,53,USA,Data Analyst,293,4,6,1,5,87.62498071570273,3,2,6,10.817646779360228,1,1,0,0
IAASSE_00239,36,Canada,Manager,283,13,4,5,3,41.78915015199243,3,1,5,11.97347239631439,1,0,0,1
IAASSE_00240,43,USA,Professor,393,7,7,3,1,47.01321337496525,5,2,8,1.738962742444252,0,1,0,1
IAASSE_00241,20,USA,Student,388,8,7,3,4,57.69115706823862,5,3,9,18.803353999075856,2,0,0,0
IAASSE_00242,36,India,Software Engineer,456,5,6,0,4,16.456989889674645,7,6,8,16.14481073038171,1,0,0,0
IAASSE_00243,37,USA,Data Analyst,297,9,3,2,4,88.24215138051625,4,3,6,9.226667181532616,3,0,0,1
IAASSE_00244,49,Australia,Student,175,12,8,2,2,84.87461288958747,2,1,8,6.305331411127933,3,0,0,0
IAASSE_00245,24,UK,Data Analyst,449,7,5,1,3,59.20845221237977,3,3,9,15.344429404118674,1,0,1,0
IAASSE_00246,58,USA,Student,662,6,7,1,3,93.4770582613324,3,1,5,11.143680953171899,1,3,2,0
IAASSE_00247,50,UK,Researcher,190,10,7,2,3,48.431365848665095,4,1,5,25.998597400545542,2,0,0,1
IAASSE_00249,56,UK,Student,274,5,7,3,1,87.64744673394082,4,2,7,4.545191736662768,2,1,0,0
IAASSE_00250,35,India,Student,482,12,1,0,4,76.66178227984508,2,1,4,34.53338041759186,0,0,0,0
IAASSE_00251,57,USA,Manager,259,10,5,0,2,76.92388116531683,0,0,7,27.23130161102913,1,3,0,0
IAASSE_00252,18,India,Student,402,14,10,0,3,72.86422388171916,4,1,5,29.236438749254763,0,1,1,0
IAASSE_00253,28,USA,Researcher,295,8,5,0,2,68.78039191481187,3,2,5,32.34391906643526,0,0,0,0
IAASSE_00254,45,Germany,Data Analyst,218,13,7,1,1,77.1985715865692,2,0,4,5.161254772122296,1,1,0,0
IAASSE_00255,42,Australia,Software Engineer,695,5,5,2,2,64.25540503244109,3,2,3,15.52843919784219,0,1,1,0
IAASSE_00257,48,UK,Student,322,13,4,1,4,44.546975221187395,5,2,6,12.499615890180333,1,1,2,0
IAASSE_00258,47,USA,Data Analyst,570,12,6,2,4,70.80969853888085,3,1,4,4.10198135265841,1,0,1,0
IAASSE_00259,59,USA,Student,444,6,3,0,1,25.40961145064,1,1,4,13.605018665511167,0,0,0,0
IAASSE_00260,52,India,Software Engineer,429,8,2,1,3,28.048201868038365,0,0,9,18.157098186521324,0,1,1,0
IAASSE_00261,24,Australia,Researcher,239,8,8,3,2,83.8961254130932,4,2,5,41.94578386408055,1,1,1,1
IAASSE_00262,33,India,Data Analyst,129,11,1,5,1,46.42516212831686,3,1,10,5.948145602159812,1,1,0,0
